,Model_ID,Model_Name,Filename
154,NMLCL000233,Layer 5 Burst Irregular Double Bouquet Cell (2),bIR215_L5_DBC_50ea904e54_0_0
155,NMLCL000234,Layer 5 Burst Irregular Double Bouquet Cell (3),bIR215_L5_DBC_7f0bb8efe9_0_0
156,NMLCL000235,Layer 5 Burst Irregular Double Bouquet Cell (4),bIR215_L5_DBC_893b78d08e_0_0
157,NMLCL000236,Layer 5 Burst Irregular Double Bouquet Cell (5),bIR215_L5_DBC_e2f2301440_0_0
158,NMLCL000237,Layer 5 Burst Irregular Martinotti Cell (1),bIR215_L5_MC_7eeb7cff0f_0_0
159,NMLCL000238,Layer 5 Burst Irregular Martinotti Cell (2),bIR215_L5_MC_8a4a02932c_0_0
160,NMLCL000239,Layer 5 Burst Irregular Martinotti Cell (3),bIR215_L5_MC_bf2b2fbcbf_0_0
161,NMLCL000240,Layer 5 Burst Irregular Martinotti Cell (4),bIR215_L5_MC_cc2a170ef6_0_0
162,NMLCL000241,Layer 5 Burst Irregular Martinotti Cell (5),bIR215_L5_MC_fdc7bd1d07_0_0
163,NMLCL000242,Layer 5 Burst Irregular Nest Basket Cell (1),bIR215_L5_NBC_0871cd68c5_0_0
164,NMLCL000243,Layer 5 Burst Irregular Nest Basket Cell (2),bIR215_L5_NBC_809407f588_0_0
165,NMLCL000244,Layer 5 Burst Irregular Nest Basket Cell (3),bIR215_L5_NBC_83f56a1270_0_0
166,NMLCL000245,Layer 5 Burst Irregular Nest Basket Cell (4),bIR215_L5_NBC_913c40083e_0_0
167,NMLCL000246,Layer 5 Burst Irregular Nest Basket Cell (5),bIR215_L5_NBC_cb87ec754a_0_0
168,NMLCL000247,Layer 6 Burst Irregular Bipolar Cell (1),bIR215_L6_BP_41b33b48e3_0_0
169,NMLCL000248,Layer 6 Burst Irregular Bipolar Cell (2),bIR215_L6_BP_5e5c39b863_0_0
170,NMLCL000249,Layer 6 Burst Irregular Bipolar Cell (3),bIR215_L6_BP_c202839326_0_0
171,NMLCL000250,Layer 6 Burst Irregular Bipolar Cell (4),bIR215_L6_BP_de7da8c370_0_0
172,NMLCL000251,Layer 6 Burst Irregular Bipolar Cell (5),bIR215_L6_BP_ff30c6d80e_0_0
173,NMLCL000252,Layer 6 Burst Irregular Double Bouquet Cell (1),bIR215_L6_DBC_0271760b42_0_0
174,NMLCL000253,Layer 6 Burst Irregular Double Bouquet Cell (2),bIR215_L6_DBC_53b6888784_0_0
175,NMLCL000254,Layer 6 Burst Irregular Double Bouquet Cell (3),bIR215_L6_DBC_84d9723b18_0_0
176,NMLCL000255,Layer 6 Burst Irregular Double Bouquet Cell (4),bIR215_L6_DBC_a60ab35166_0_0
177,NMLCL000256,Layer 6 Burst Irregular Double Bouquet Cell (5),bIR215_L6_DBC_e3438da2c9_0_0
178,NMLCL000257,Layer 6 Burst Irregular Large Basket Cell (1),bIR215_L6_LBC_05f55c6541_0_0
179,NMLCL000258,Layer 6 Burst Irregular Large Basket Cell (2),bIR215_L6_LBC_b4586f425b_0_0
180,NMLCL000259,Layer 6 Burst Irregular Large Basket Cell (3),bIR215_L6_LBC_d854e4228e_0_0
181,NMLCL000260,Layer 6 Burst Irregular Large Basket Cell (4),bIR215_L6_LBC_ef1920e6b8_0_0
182,NMLCL000261,Layer 6 Burst Irregular Large Basket Cell (5),bIR215_L6_LBC_f0665c9d1a_0_0
183,NMLCL000262,Layer 6 Burst Irregular Martinotti Cell (1),bIR215_L6_MC_62cf39b45d_0_0
184,NMLCL000263,Layer 6 Burst Irregular Martinotti Cell (2),bIR215_L6_MC_6c575906a7_0_0
185,NMLCL000264,Layer 6 Burst Irregular Martinotti Cell (3),bIR215_L6_MC_6ed36072e7_0_0
186,NMLCL000265,Layer 6 Burst Irregular Martinotti Cell (4),bIR215_L6_MC_8f46a0ad62_0_0
187,NMLCL000266,Layer 6 Burst Irregular Martinotti Cell (5),bIR215_L6_MC_d379cda689_0_0
188,NMLCL000267,Layer 6 Burst Irregular Nest Basket Cell (1),bIR215_L6_NBC_5d97f161ff_0_0
189,NMLCL000268,Layer 6 Burst Irregular Nest Basket Cell (2),bIR215_L6_NBC_8c6aecf604_0_0
190,NMLCL000269,Layer 6 Burst Irregular Nest Basket Cell (3),bIR215_L6_NBC_a104961d30_0_0
191,NMLCL000270,Layer 6 Burst Irregular Nest Basket Cell (4),bIR215_L6_NBC_ce39e26284_0_0
192,NMLCL000271,Layer 6 Burst Irregular Nest Basket Cell (5),bIR215_L6_NBC_ebdeb060a6_0_0
193,NMLCL000272,Layer 1 Burst Non-accommodating Descending Axon Cell (1),bNAC219_L1_DAC_0d58fdf14a_0_0
194,NMLCL000273,Layer 1 Burst Non-accommodating Descending Axon Cell (2),bNAC219_L1_DAC_56906d7a99_0_0
195,NMLCL000274,Layer 1 Burst Non-accommodating Descending Axon Cell (3),bNAC219_L1_DAC_81e928d216_0_0
196,NMLCL000275,Layer 1 Burst Non-accommodating Descending Axon Cell (4),bNAC219_L1_DAC_a9ae5cbbf5_0_0
197,NMLCL000276,Layer 1 Burst Non-accommodating Descending Axon Cell (5),bNAC219_L1_DAC_ec2fc5f0de_0_0
198,NMLCL000277,Layer 1 Burst Non-accommodating Horizontal Axon Cell (1),bNAC219_L1_HAC_369e749269_0_0
199,NMLCL000278,Layer 1 Burst Non-accommodating Horizontal Axon Cell (2),bNAC219_L1_HAC_5c847ea2ef_0_0
200,NMLCL000279,Layer 1 Burst Non-accommodating Horizontal Axon Cell (3),bNAC219_L1_HAC_dfd993e67b_0_0
201,NMLCL000280,Layer 1 Burst Non-accommodating Horizontal Axon Cell (4),bNAC219_L1_HAC_f7023f0666_0_0
202,NMLCL000281,Layer 1 Burst Non-accommodating Horizontal Axon Cell (5),bNAC219_L1_HAC_f8c9772d9d_0_0
203,NMLCL000282,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (1),bNAC219_L1_NGCDA_095997ce92_0_0
204,NMLCL000283,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (2),bNAC219_L1_NGCDA_3d9c976fde_0_0
205,NMLCL000284,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (3),bNAC219_L1_NGCDA_46b45974f4_0_0
206,NMLCL000285,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (4),bNAC219_L1_NGCDA_b030a58a66_0_0
207,NMLCL000286,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (5),bNAC219_L1_NGCDA_e7cec642c3_0_0
208,NMLCL000287,Layer 1 Burst Non-accommodating Small Axon Cell (1),bNAC219_L1_SLAC_1aa0a09b13_0_0
209,NMLCL000288,Layer 1 Burst Non-accommodating Small Axon Cell (2),bNAC219_L1_SLAC_8a5944f8ac_0_0
210,NMLCL000289,Layer 1 Burst Non-accommodating Small Axon Cell (3),bNAC219_L1_SLAC_9f043bb71a_0_0
211,NMLCL000290,Layer 1 Burst Non-accommodating Small Axon Cell (4),bNAC219_L1_SLAC_bb26216f9f_0_0
212,NMLCL000291,Layer 1 Burst Non-accommodating Small Axon Cell (5),bNAC219_L1_SLAC_d22d584760_0_0
213,NMLCL000292,Layer 2/3 Burst Non-accommodating Bipolar Cell (1),bNAC219_L23_BP_023bbf4d99_0_0
214,NMLCL000293,Layer 2/3 Burst Non-accommodating Bipolar Cell (2),bNAC219_L23_BP_0ab57a7682_0_0
215,NMLCL000294,Layer 2/3 Burst Non-accommodating Bipolar Cell (3),bNAC219_L23_BP_40adbb9f96_0_0
216,NMLCL000295,Layer 2/3 Burst Non-accommodating Bipolar Cell (4),bNAC219_L23_BP_e8c88c2686_0_0
217,NMLCL000296,Layer 2/3 Burst Non-accommodating Bipolar Cell (5),bNAC219_L23_BP_f03ecc7752_0_0
