Cell_ID,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
NMLCL000365,54.7699115999786,54.45322800244389,0.31668359753469105,-0.578207246065402,1.7920180368572802,0.89,0.88,-1.1235955056179798,4.58999999999992,4.67000000000007,-14.071840514810601,-13.8093946933533,-1.8650426088969,9.81983636300074,10.0366452155171,2.20786624646104,49.77,92.8599999999999,0.0,0.0,16.8900000000001,33.4000000000001,0.0,0.0,44.89,17.0699999999999,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0636010939388157,-64.3173422528144,216.470116950325,98.9199999999996,4.64868917271871,8.35460663727116,27.5,242.43052164284302,0,34.507181233504895,79.23370536682759,2071.06
NMLCL000366,56.8942800006444,56.6090440016374,0.285235999006943,-0.5013438943312271,2.7566447226867203,0.87,0.87,0.0,5.34999999999991,5.5,-13.227766613987,-12.856223324740501,-2.80881346102365,13.874271384184802,14.100184284435501,1.6282865888597802,35.3900000000001,78.55,0.0,0.0,12.53,31.3199999999999,0.0,0.0,45.3549999999999,19.425000000000104,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0710277718587968,-68.1886061441205,182.73426204017798,107.515,4.48845891244261,10.1714550509734,24.5,364.35340869523804,0,29.0,143.0,2072.04
NMLCL000367,52.126336571987714,51.4343200011563,0.692016570831377,-1.32757568695756,2.28931501301594,1.01,1.04,2.9702970297029703,5.8599999999999,6.009999999999992,-11.369858175597301,-10.9296205090926,-3.87197148553291,14.5010323370112,14.2526992584902,-1.7125199968498896,31.24,70.40000000000009,0.0,0.0,10.3,27.04,0.0,0.0,41.015,17.4450000000001,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0954152950718,-68.93451992787911,158.912230434102,99.46999999999979,4.5280519230808,9.473953013278347,32.5,767.413105753981,0,29.0,143.0,2078.48
NMLCL000368,52.38122400021921,51.3803240010884,1.00089999913079,-1.91079918087939,2.54114048932243,1.02,1.04,1.96078431372549,5.77999999999997,5.94000000000005,-11.5716281644577,-11.094997755385599,-4.11895717956195,14.502786790346,14.5239626659024,0.146012458588339,30.9400000000001,70.1400000000001,0.0,0.0,10.190000000000197,26.97,0.0,0.0,41.0649999999999,17.49,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0949748791444663,-68.9984312216712,157.685379620362,99.71999999999979,4.53205017290784,9.51530612244843,32.5,772.664260456085,0,29.0,143.0,2077.75
NMLCL000369,53.1195593338355,51.982449334456795,1.13710999937872,-2.14066158236072,3.1842486945716697,0.98,1.01,3.0612244897959195,5.650000000000089,5.80999999999995,-11.986426389544999,-11.499218588698401,-4.06466268604922,14.6037497670946,14.82801066588,1.53563914995857,31.26,70.8299999999999,0.0,0.0,10.4,27.24,0.0,0.0,41.37,17.4950000000001,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0743284425218154,-68.566525075829,166.204125361394,98.8999999999999,4.4734083317302185,9.09780136467056,32.0,765.522776981371,0,29.0,143.0,2046.19
NMLCL000370,52.4358400002085,51.3346400007881,1.1011999994203898,-2.1000903187896203,2.44809003166075,1.01,1.04,2.9702970297029703,5.849999999999911,6.009999999999992,-11.4168022221992,-10.953081111728801,-4.06174252163825,14.352452999655599,14.493377480701596,0.981884288695774,31.0,70.22,0.0,0.0,10.23,27.03,0.0,0.0,41.0700000000001,17.51,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0950209045990118,-68.968814246858,157.755645162361,99.6499999999999,4.5342175504893,9.43396226415105,32.5,772.349188131994,0,29.0,143.0,2078.06
NMLCL000371,52.4006280004865,50.9385754305274,1.46205256995909,-2.79014322108032,2.37510664295274,1.03,1.03,0.0,5.82999999999993,5.990000000000008,-11.413469556145401,-10.950412094310401,-4.057113917525919,14.1398995118403,14.6543930143922,3.6385937687962895,31.1900000000001,70.45,0.0,0.0,10.3,27.0599999999999,0.0,0.0,41.1,17.47,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0949478261695199,-69.0524680768091,156.28224700456698,98.68000000000008,4.47826640889783,9.373408048904901,32.5,769.5135946070129,0,29.0,143.0,2078.38
NMLCL000372,67.8174000009919,67.5085900022076,0.30880999878427,-0.455355113554564,4.0277370903497705,0.58,0.58,0.0,2.8699999999998904,2.8900000000001,-29.9538225048,-29.7025803266433,-0.8387649960752108,18.1500705877809,18.331867141794397,1.0016300109371,23.3200000000001,53.940000000000104,0.0,0.0,7.80000000000007,21.86,0.0,0.0,31.6449999999999,14.3699999999999,0.0,0.0,-37.5,-37.5,-0.100863390623739,-70.6030281108505,164.416519910903,78.3800000000001,4.55255501604721,6.6949706074455895,45.5,385.27227470258,0,29.0,143.0,2038.92
NMLCL000373,61.4225946666927,60.919389333168795,0.503205333523972,-0.8192511831429391,3.6754331695871496,0.77,0.79,2.59740259740261,3.58999999999992,3.6300000000001096,-20.537634212563802,-20.1872065896514,-1.70627064093876,12.3075121564097,12.3601705872682,0.42785601337853496,28.7600000000002,62.75,0.0,0.0,9.87,25.53,0.0,0.0,41.0700000000001,17.915,0.0,0.0,-40.0,-40.0,-0.10676916506512897,-82.82646498769991,127.075331033108,144.24,3.61908438469169,41.659311562226,12.5,518.896863415464,0,29.0,143.0,2054.21
NMLCL000374,58.5291474289975,58.128544001245395,0.40060342775209495,-0.6844511586950288,5.91825880560599,0.79,0.8,1.26582278481007,3.43000000000006,3.4800000000000204,-20.4678571771556,-20.0564709014984,-2.00991374962508,11.6756026886477,11.6679747359693,-0.0653324105128596,23.87,50.10000000000011,0.0,0.0,7.84000000000003,21.130000000000106,0.0,0.0,28.345,13.8899999999999,0.0,0.0,-42.8571428571429,-42.8571428571429,-0.149619965288168,-81.86153367162599,122.656122260606,94.8599999999999,3.84678966456408,16.126572626761902,32.5,512.260436837467,0,29.0,104.483337144891,2031.18
